"Df","SumOfSqs","R2","F","pvalue","comparison","data","source","features","prev_rate","replica_comp","ratio","colour"
1,2.07159670526188,0.324017366389023,8.6279030037314,0.001,"BAR_LAG","pres/abs","terinterSpecies",30,"prev_10","MBERE_vs_ABORE",1.082,"blue"
1,0.946027190032175,0.156599750189707,3.3421800669952,0.001,"BAY_LAG","pres/abs","allSpecies",23,"prev_10","MBERE_vs_ABORE",1,"blue"
1,0.970763771957359,0.172869027019004,3.7619707011184,0.001,"BAY_LAG","pres/abs","terinterSpecies",18,"prev_10","MBERE_vs_ABORE",1.104,"blue"
1,2.6601432306111,0.2536555885778,9.51619168239562,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",29,"prev_10","MBERE_vs_ABORE",1,"blue"
1,3.00474343138547,0.301910491025136,12.1094696883751,0.001,"INSHORE_OFFSHORE","pres/abs","terinterSpecies",21,"prev_10","MBERE_vs_ABORE",1.19,"blue"
1,2.51527796739476,0.356101417108515,9.95471286668994,0.001,"BAR_BAY","maxN","allSpecies",35,"prev_10","MBERE_vs_ABORE",1,"blue"
1,2.64957025680096,0.383479427088649,11.1961060034054,0.001,"BAR_BAY","maxN","terinterSpecies",23,"prev_10","MBERE_vs_ABORE",1.077,"blue"
1,1.84802205630503,0.296122025834937,7.57261437446105,0.001,"BAR_LAG","maxN","allSpecies",36,"prev_10","MBERE_vs_ABORE",1,"blue"
1,1.86171841582358,0.304408718327555,7.87726510418833,0.001,"BAR_LAG","maxN","terinterSpecies",31,"prev_10","MBERE_vs_ABORE",1.028,"blue"
1,0.971090555593828,0.169062912991984,3.66228981885167,0.001,"BAY_LAG","maxN","allSpecies",23,"prev_10","MBERE_vs_ABORE",1,"blue"
1,1.01174214837989,0.194169440010877,4.33720200465338,0.001,"BAY_LAG","maxN","terinterSpecies",17,"prev_10","MBERE_vs_ABORE",1.149,"blue"
1,2.57902322388914,0.248349362882775,9.25134872151146,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",29,"prev_10","MBERE_vs_ABORE",1,"blue"
1,2.70172634850046,0.262593719243991,9.97092692415589,0.001,"INSHORE_OFFSHORE","maxN","terinterSpecies",24,"prev_10","MBERE_vs_ABORE",1.057,"blue"
