"Df","SumOfSqs","R2","F","pvalue","comparison","data","source","features","seed","prev_rate","ratio","colour"
1,2.36911883351888,0.202576733468665,7.62117467489413,0.001,"BAR_LAG","maxN","allSpecies",122,"seed_01","prev_0",0.842,"blue"
1,1.32231680836968,0.119688217371706,3.26306801022776,0.001,"BAR_LAG","maxN","terinterSpecies",24,"seed_01","prev_0",0.498,"blue"
1,1.06391259072321,0.102134139443911,3.4125634105518,0.001,"BAY_LAG","maxN","allSpecies",52,"seed_01","prev_0",0.825,"blue"
1,1.19886480723427,0.104961352465518,3.51810570709933,0.001,"BAY_LAG","maxN","terinterSpecies",29,"seed_01","prev_0",0.847,"blue"
1,3.64696485612281,0.208966879328813,12.1518002191479,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",129,"seed_01","prev_0",0.813,"blue"
1,2.12617241365296,0.119874632402412,6.12907962513692,0.001,"INSHORE_OFFSHORE","maxN","terinterSpecies",59,"seed_01","prev_0",0.466,"blue"
1,3.89237062640565,0.34990684281092,16.1472323900719,0.001,"BAR_BAY","pres/abs","allSpecies",31,"seed_01","prev_10",1.338,"blue"
1,5.17990998894224,0.491168463989425,28.9586098283352,0.001,"BAR_BAY","pres/abs","indvalSpecies",17,"seed_01","prev_10",1.878,"blue"
1,3.15526750005157,0.292324665249358,12.3923210642503,0.001,"BAR_LAG","pres/abs","allSpecies",35,"seed_01","prev_10",1.251,"blue"
1,4.59715747259712,0.441529087814928,23.7181066111788,0.001,"BAR_LAG","pres/abs","indvalSpecies",19,"seed_01","prev_10",1.889,"blue"
1,1.10330287568293,0.12645479469796,4.34281342043093,0.001,"BAY_LAG","pres/abs","allSpecies",17,"seed_01","prev_10",1.192,"blue"
1,4.29218253968254,0.577985230151011,31.5004621715733,0.001,"BAY_LAG","pres/abs","indvalSpecies",4,"seed_01","prev_10",5.448,"blue"
1,4.70617091814328,0.29326523307794,19.0880671971709,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",30,"seed_01","prev_10",1.457,"blue"
1,5.96674987472908,0.413432324131615,32.422323446138,0.001,"INSHORE_OFFSHORE","pres/abs","indvalSpecies",20,"seed_01","prev_10",2.054,"blue"
1,3.58340443028519,0.311339937270674,13.5628572406287,0.001,"BAR_BAY","maxN","allSpecies",31,"seed_01","prev_10",1.291,"blue"
1,4.46751215161027,0.396846913839717,19.7386164281811,0.001,"BAR_BAY","maxN","indvalSpecies",17,"seed_01","prev_10",1.646,"blue"
1,2.68170569707383,0.240483205827956,9.49879743304857,0.001,"BAR_LAG","maxN","allSpecies",35,"seed_01","prev_10",1.069,"blue"
1,3.91324569520358,0.354198052839324,16.4538704658566,0.001,"BAR_LAG","maxN","indvalSpecies",19,"seed_01","prev_10",1.574,"blue"
1,1.15278858160716,0.123865790741647,4.24132933400121,0.001,"BAY_LAG","maxN","allSpecies",17,"seed_01","prev_10",1.04,"blue"
1,2.07959175065996,0.282644383137207,10.2442272546852,0.001,"BAY_LAG","maxN","indvalSpecies",5,"seed_01","prev_10",2.374,"blue"
1,4.24147809567246,0.256998055682149,15.9110089169854,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",30,"seed_01","prev_10",1.337,"blue"
1,5.34430914389843,0.361000478558707,25.9875343509567,0.001,"INSHORE_OFFSHORE","maxN","indvalSpecies",20,"seed_01","prev_10",1.878,"blue"
1,3.89237062640565,0.34990684281092,16.1472323900719,0.001,"BAR_BAY","pres/abs","allSpecies",31,"seed_01","prev_10",1.338,"blue"
1,3.15080290090947,0.302736916269376,12.5911879987091,0.001,"BAR_BAY","pres/abs","bininterSpecies",12,"seed_01","prev_10",0.874,"blue"
1,3.15526750005157,0.292324665249358,12.3923210642503,0.001,"BAR_LAG","pres/abs","allSpecies",35,"seed_01","prev_10",1.251,"blue"
1,1.4334595959596,0.168392168495995,4.04979756362923,0.001,"BAR_LAG","pres/abs","bininterSpecies",7,"seed_01","prev_10",0.503,"blue"
1,1.10330287568293,0.12645479469796,4.34281342043093,0.001,"BAY_LAG","pres/abs","allSpecies",17,"seed_01","prev_10",1.192,"blue"
1,1.02884678018033,0.128655591555472,4.13425108216844,0.002,"BAY_LAG","pres/abs","bininterSpecies",8,"seed_01","prev_10",0.939,"red"
1,4.70617091814328,0.29326523307794,19.0880671971709,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",30,"seed_01","prev_10",1.457,"blue"
1,3.63600071225071,0.26615397368775,13.4192959740257,0.001,"INSHORE_OFFSHORE","pres/abs","bininterSpecies",7,"seed_01","prev_10",0.957,"blue"
1,3.58340443028519,0.311339937270674,13.5628572406287,0.001,"BAR_BAY","maxN","allSpecies",31,"seed_01","prev_10",1.291,"blue"
1,3.58803348460488,0.320934088291792,14.1783330347627,0.001,"BAR_BAY","maxN","bininterSpecies",20,"seed_01","prev_10",1.079,"blue"
1,2.68170569707383,0.240483205827956,9.49879743304857,0.001,"BAR_LAG","maxN","allSpecies",35,"seed_01","prev_10",1.069,"blue"
1,3.57619206023414,0.325540175887159,14.4800400668207,0.001,"BAR_LAG","maxN","bininterSpecies",21,"seed_01","prev_10",1.202,"blue"
1,1.15278858160716,0.123865790741647,4.24132933400121,0.001,"BAY_LAG","maxN","allSpecies",17,"seed_01","prev_10",1.04,"blue"
1,0.495225075689513,0.0542022677192928,1.31809594693946,0.228,"BAY_LAG","maxN","bininterSpecies",6,"seed_01","prev_10",0.396,"red"
1,4.24147809567246,0.256998055682149,15.9110089169854,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",30,"seed_01","prev_10",1.337,"blue"
1,3.84416619149537,0.24358203387832,13.846878215321,0.001,"INSHORE_OFFSHORE","maxN","bininterSpecies",12,"seed_01","prev_10",1.007,"blue"
1,3.89237062640565,0.34990684281092,16.1472323900719,0.001,"BAR_BAY","pres/abs","allSpecies",31,"seed_01","prev_10",1.011,"blue"
1,3.91778331536147,0.38106956907428,17.8550236843669,0.001,"BAR_BAY","pres/abs","terinterSpecies",18,"seed_01","prev_10",1.101,"blue"
1,3.15526750005157,0.292324665249358,12.3923210642503,0.001,"BAR_LAG","pres/abs","allSpecies",35,"seed_01","prev_10",0.873,"blue"
1,3.47662462676091,0.339545659254159,15.4232762951054,0.001,"BAR_LAG","pres/abs","terinterSpecies",24,"seed_01","prev_10",1.014,"blue"
1,1.10330287568293,0.12645479469796,4.34281342043093,0.001,"BAY_LAG","pres/abs","allSpecies",17,"seed_01","prev_10",0.923,"blue"
