"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data"
"Parapercis australis",0.7,"BAR",1,35,"BAR_BAY","indval","bin"
"Parapercis clathrata",0.1,"BAY",0,5,"BAR_BAY","indval","bin"
"Parapercis hexophtalma",0.1,"BAR",0,5,"BAR_BAY","indval","bin"
"Parapercis xanthozona",0.05,"BAY",0,2.5,"BAR_BAY","indval","bin"
"Parupeneus barberinoides",0.7,"BAR",1,35,"BAR_BAY","indval","bin"
"Parupeneus barberinus",0.1,"BAR",0,5,"BAR_BAY","indval","bin"
"Parupeneus cyclostomus",0.1,"BAR",0,5,"BAR_BAY","indval","bin"
"Parupeneus heptacanthus",0.09,"BAR",0,12.5,"BAR_BAY","indval","bin"
"Parupeneus multifasciatus",0.5,"BAR",1,25,"BAR_BAY","indval","bin"
"Parupeneus pleurostigma",0.85,"BAR",1,42.5,"BAR_BAY","indval","bin"
"Parupeneus spilurus",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Pentapodus caninus",0.025,"BAR",0,5,"BAR_BAY","indval","bin"
"Pentapodus nagasakiensis",0.75,"BAR",1,37.5,"BAR_BAY","indval","bin"
"Plagiotremus rhinorhynchos",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Plagiotremus tapeinosoma",0.2,"BAR",0,10,"BAR_BAY","indval","bin"
"Plectropomus leopardus",0.15,"BAR",0,7.5,"BAR_BAY","indval","bin"
"Pomacanthus imperator",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Pomacentrus coelestis",0.35,"BAR",1,17.5,"BAR_BAY","indval","bin"
"Pomacentrus moluccensis",0.2,"BAR",0,10,"BAR_BAY","indval","bin"
"Pomacentrus nagasakiensis",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Pristotis obtusirostris",0.15,"BAR",0,7.5,"BAR_BAY","indval","bin"
"Pseudalutarius nasicornis",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Pseudanthias hypselosoma",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Pseudobalistes flavimarginatus",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
