"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data"
"Abalistes stellatus",0.075,"BAR",0,15,"BAR_BAY","indval","pres/abs"
"Acanthurus blochii",0.15,"BAR",0,7.5,"BAR_BAY","indval","pres/abs"
"Acanthurus mata",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Acanthurus nigricauda",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Acanthurus olivaceus",0.1,"BAR",0,5,"BAR_BAY","indval","pres/abs"
"Acanthurus xanthopterus",0.15,"BAR",0,7.5,"BAR_BAY","indval","pres/abs"
"Amblyeleotris steinitzi",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Amblygobius phalaena",0.3,"BAR",1,15,"BAR_BAY","indval","pres/abs"
"Aprion virescens",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Atule mate",0.6,"BAY",1,30,"BAR_BAY","indval","pres/abs"
"Balistoides viridescens",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Bodianus loxozonus",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Bodianus perditio",0.1,"BAR",0,5,"BAR_BAY","indval","pres/abs"
"Caesio caerulaurea",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Canthigaster bennetti",0.05,"BAY",0,2.5,"BAR_BAY","indval","pres/abs"
"Canthigaster valentini",0.15,"BAR",0,7.5,"BAR_BAY","indval","pres/abs"
"Carangoides dinema",0.05,"BAY",0,2.5,"BAR_BAY","indval","pres/abs"
"Carangoides fulvoguttatus",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Caranx ignobilis",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Caranx papuensis",0.05,"BAY",0,2.5,"BAR_BAY","indval","pres/abs"
"Centropyge tibicen",0.2,"BAR",0,10,"BAR_BAY","indval","pres/abs"
"Chaetodon auriga",0.3,"BAR",1,15,"BAR_BAY","indval","pres/abs"
"Chaetodon ephippium",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Chaetodon kleinii",0.25,"BAR",1,12.5,"BAR_BAY","indval","pres/abs"
"Chaetodon melannotus",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Chaetodon mertensii",0.15,"BAR",0,7.5,"BAR_BAY","indval","pres/abs"
"Chaetodon plebeius",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Cheilinus chlorourus",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Cheilio inermis",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Cheilodipterus quinquelineatus",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Chlorurus sordidus",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Choerodon graphicus",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Chromis fumea",0.1,"BAR",0,5,"BAR_BAY","indval","pres/abs"
"Chromis viridis",0.25,"BAR",1,12.5,"BAR_BAY","indval","pres/abs"
"Chrysiptera biocellata",0.1,"BAR",0,5,"BAR_BAY","indval","pres/abs"
"Coris batuensis",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Coris dorsomacula",0.25,"BAR",1,12.5,"BAR_BAY","indval","pres/abs"
"Ctenochaetus striatus",0.1,"BAR",0,5,"BAR_BAY","indval","pres/abs"
"Dascyllus aruanus",0.35,"BAR",1,17.5,"BAR_BAY","indval","pres/abs"
"Dasyatis kuhlii",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Decapterus macarellus",0.15,"BAY",0,7.5,"BAR_BAY","indval","pres/abs"
"Diagramma pictum",0.05,"BAR",0,10,"BAR_BAY","indval","pres/abs"
"Echeneis naucrates",0.156,"BAY",0,20,"BAR_BAY","indval","pres/abs"
"Elops hawaiensis",0.05,"BAY",0,2.5,"BAR_BAY","indval","pres/abs"
"Epinephelus areolatus",0.1,"BAY",0,5,"BAR_BAY","indval","pres/abs"
"Epinephelus howlandi",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Epinephelus maculatus",0.15,"BAR",0,7.5,"BAR_BAY","indval","pres/abs"
"Epinephelus merra",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Gnathanodon speciosus",0.1,"BAY",0,5,"BAR_BAY","indval","pres/abs"
"Gymnocranius grandoculis",0.2,"BAR",0,10,"BAR_BAY","indval","pres/abs"
"Halichoeres chrysus",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Halichoeres trimaculatus",0.803,"BAR",1,45,"BAR_BAY","indval","pres/abs"
"Hemigymnus melapterus",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Heniochus acuminatus",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Labroides dimidiatus",0.15,"BAR",0,7.5,"BAR_BAY","indval","pres/abs"
"Lagocephalus sceleratus",0.245,"BAY",0,25,"BAR_BAY","indval","pres/abs"
"Leiognathus fasciatus",0.2,"BAY",0,10,"BAR_BAY","indval","pres/abs"
"Lethrinus atkinsoni",0.1,"BAR",0,5,"BAR_BAY","indval","pres/abs"
"Lethrinus genivittatus",0.423,"BAY",0,50,"BAR_BAY","indval","pres/abs"
"Lethrinus obsoletus",0.65,"BAY",1,32.5,"BAR_BAY","indval","pres/abs"
"Lethrinus rubrioperculatus",0.8,"BAR",1,40,"BAR_BAY","indval","pres/abs"
"Lethrinus variegatus",0.75,"BAR",1,37.5,"BAR_BAY","indval","pres/abs"
"Lutjanus gibbus",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Lutjanus lutjanus",0.05,"BAY",0,2.5,"BAR_BAY","indval","pres/abs"
"Lutjanus vitta",0.09,"BAY",0,12.5,"BAR_BAY","indval","pres/abs"
"Macropharyngodon negrosensis",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
"Mulloidichthys flavolineatus",0.4,"BAR",1,20,"BAR_BAY","indval","pres/abs"
"Naso annulatus",0.1,"BAR",0,5,"BAR_BAY","indval","pres/abs"
"Naso brevirostris",0.05,"BAR",0,2.5,"BAR_BAY","indval","pres/abs"
